r1,r2,r3,r4,r5,r6,r7,r8,r9,label
1.186461,0.780834,0.844099,1.51948,1.081022,1.23082,0.321096,0.348545,0.92505,Heart
1.2148,0.750678,0.858983,1.618271,1.144277,1.242497,0.316274,0.32891,0.873914,Heart
1.21255,0.784849,0.834814,1.544947,1.063662,1.234825,0.321501,0.329607,0.940148,Heart
1.135018,0.790637,0.868079,1.435574,1.097948,1.205752,0.32748,0.324343,0.91079,Heart
1.219676,0.772977,0.810912,1.577893,1.049076,1.262714,0.309168,0.356031,0.95322,Heart
1.226055,0.78052,0.8238,1.570818,1.05545,1.246634,0.301028,0.390512,0.947463,Heart
1.149039,0.780718,0.836149,1.471771,1.070999,1.23696,0.320625,0.340949,0.933707,Heart
1.174999,0.791202,0.826123,1.48508,1.044136,1.236609,0.302609,0.372211,0.95773,Heart
1.185351,0.817167,0.803109,1.450562,0.982796,1.234358,0.304751,0.368314,1.017505,Heart
1.194379,0.780686,0.841216,1.52991,1.077535,1.23312,0.320499,0.354211,0.928044,Heart
1.180991,0.761964,0.8,1.549929,1.049918,1.280439,0.290313,0.387084,0.952455,Heart
1.269143,0.768439,0.865522,1.651586,1.126338,1.22402,0.317021,0.337995,0.887833,Heart
1.255593,0.780224,0.847327,1.609272,1.086004,1.22884,0.304233,0.355968,0.920807,Heart
1.170865,0.803596,0.832821,1.457033,1.036368,1.222183,0.30567,0.360101,0.964908,Heart
1.211318,0.768544,0.834635,1.576121,1.085995,1.247521,0.305783,0.374816,0.920815,Heart
1.275429,0.799436,0.846941,1.595412,1.059424,1.214789,0.300924,0.370559,0.943909,Heart
1.191484,0.808901,0.808926,1.472967,1.000031,1.236226,0.299406,0.395905,0.999969,Heart
1.148425,0.76891,0.846855,1.493576,1.101371,1.237804,0.307854,0.334269,0.907959,Heart
